Index Python,Index,Industry order
0,1,"Agriculture, forestry, and fishing"
1,2,"Coal, oil and gas extraction"
2,3,Metal ores and other mining activities
3,4,Manufacture of food products; beverages and tobacco products
4,5,"Manufacture of textiles, wearing apparel, leather and related products"
5,6,"Wood, paper and printing industries"
6,7,Manufacture of coke and refined petroleum products
7,8,Manufacture of chemicals and chemical products
8,9,Manufacture of basic pharmaceutical products and pharmaceutical preparations
9,10,Manufacture of rubber and plastic products
10,11,Manufacture of other non-metallic mineral products
11,12,Manufacture of basic iron and steel
12,13,Manufacture of basic precious and other non-ferrous metals
13,14,Manufacture of fabricated metal products
14,15,"Manufacture of computer, electronic and optical products"
15,16,Manufacture of electrical equipment
16,17,Manufacture of machinery and equipment n.e.c. 
17,18,"Manufacture of motor vehicles, trailers and semi-trailers"
18,19,Shipbuilding and other transport equipment
19,20,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
20,21,All Services
